Headline,Industry,College-Name-1,Degree-Name-1,Field-Of-Study-1,Activities-and-Societies-1,Activities-and-Societies--1,Job-Title-1,Company-Name-1,Dates-Employed-1,Employment-Duration-1,Location-1,College-Name-2,Degree-Name-2,Field-Of-Study-2,Activities-and-Societies-2,Activities-and-Societies--2,Job-Title-2,Company-Name-2,Dates-Employed-2,Employment-Duration-2,Location-2,College-Name-3,Degree-Name-3,Field-Of-Study-3,Activities-and-Societies-3,Activities-and-Societies--3,Job-Title-3,Company-Name-3,Dates-Employed-3,Employment-Duration-3,Location-3,College-Name-4,Degree-Name-4,Field-Of-Study-4,Activities-and-Societies-4,Activities-and-Societies--4,Job-Title-4,Company-Name-4,Dates-Employed-4,Employment-Duration-4,Location-4,College-Name-5,Degree-Name-5,Field-Of-Study-5,Activities-and-Societies-5,Activities-and-Societies--5,Job-Title-5,Company-Name-5,Dates-Employed-5,Employment-Duration-5,Location-5,College-Name-6,Degree-Name-6,Field-Of-Study-6,Activities-and-Societies-6,Activities-and-Societies--6,Job-Title-6,Company-Name-6,Dates-Employed-6,Employment-Duration-6,Location-6,College-Name-7,Degree-Name-7,Field-Of-Study-7,Activities-and-Societies-7,Activities-and-Societies--7,Job-Title-7,Company-Name-7,Dates-Employed-7,Employment-Duration-7,Location-7,College-Name-8,Degree-Name-8,Field-Of-Study-8,Activities-and-Societies-8,Activities-and-Societies--8,Job-Title-8,Company-Name-8,Dates-Employed-8,Employment-Duration-8,Location-8,College-Name-9,Degree-Name-9,Field-Of-Study-9,Activities-and-Societies-9,Activities-and-Societies--9,Job-Title-9,Company-Name-9,Dates-Employed-9,Employment-Duration-9,Location-9,College-Name-10,Degree-Name-10,Field-Of-Study-10,Activities-and-Societies-10,Activities-and-Societies--10,Job-Title-10,Company-Name-10,Dates-Employed-10,Employment-Duration-10,Location-10,College-Name-11,Degree-Name-11,Field-Of-Study-11,Activities-and-Societies-11,Activities-and-Societies--11,Job-Title-11,Company-Name-11,Dates-Employed-11,Employment-Duration-11,Location-11,College-Name-12,Degree-Name-12,Field-Of-Study-12,Activities-and-Societies-12,Activities-and-Societies--12,Job-Title-12,Company-Name-12,Dates-Employed-12,Employment-Duration-12,Location-12,College-Name-13,Degree-Name-13,Field-Of-Study-13,Activities-and-Societies-13,Activities-and-Societies--13,Job-Title-13,Company-Name-13,Dates-Employed-13,Employment-Duration-13,Location-13,skills
"Amazon. (ex-Goldman Sachs, ex-IBM Research)",Machine Learning,Carnegie Mellon University,"PhD, Electrical and Computer Engineering","PhD, Electrical and Computer Engineering",,,"Vice President, Head of Advanced Analytics & Quantitative Strategy Innovation",Synchrony,May 2018 - Aug 2019,1 yr 4 mos,Stamford CT,,,,,,"Head of Decision Science and Data Science,  Marcus by Goldman Sachs",Goldman Sachs,Jan 2016 - May 2018,2 yrs 5 mos,New York,,,,,,Head of Data Science,Dow Jones,Jul 2014 - Jan 2016,1 yr 7 mos,"At Dow Jones I helped shape and drive Dow Jones' data driven vision, leverage Dow Jones vast data and information resources to identify product opportunities, build data products and maximize the value attained from such data. I led a bright team of Ph.D. scientists with expertise in Machine Learning, NLP, Computer Science, Applied Math, Statistics, and Computational Biology.",,,,,,Senior Data Scientist,PlaceIQ,May 2013 - Jul 2014,1 yr 3 mos,New York,,,,,,Full-time,Amazon,Mar 2022 - Present · 2 mos,2 mos,"Amazon, Senior Science Manager --  Search and AI (M5)",,,,,,Aug 2019 - Mar 2022 · 2 yrs 8 mos,Amazon,"New York, United States",2 yrs 9 mos,"Senior Science Manager, Research Science - SCOT Forecasting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence,Machine Learning,Algorithms,"
"Real Estate Broker at TTR Sotheby's International Realty in Washington DC, Maryland, Virginia and California Specializing in Luxury Home Sales for International Buyers and Diplomats",Sales,Georgetown University,"Master's Degree, Public Policy","Master's Degree, Public Policy",,,Partner and Managing Broker,TTR Sotheby's International Realty,Sep 2007 - Present,14 yrs 8 mos,"Washington, District of Columbia, United States",,,,,,Vice President of Sales and Marketing,PN Hoffman,2004 - 2007,3 yrs,"Washington, District of Columbia, United States",,,,,,Vice President Of Business Development,Archstone Smith,2000 - 2004,4 yrs,"Arlington, Virginia, United States",,,,,,Senior Advisor and Chief of Staff,Federal Trade Commission · Full-time,1997 - 2000,3 yrs,"Washington, District of Columbia, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Real Estate,Investment Properties,Residential Homes,"
Grants and Contracts Administrator at ICMA,Sales,The George Washington University,"Bachelor’s Degree, International Affairs, Concentration in Middle Eastern Studies, Minor in Arabic","Bachelor’s Degree, International Affairs, Concentration in Middle Eastern Studies, Minor in Arabic",,,Grants and Contracts Administrator,ICMA - International City/County Management Association,Aug 2019 - Present,2 yrs 9 mos,Washington D.C. Metro Area,,,,,,Monitoring and Evaluation Intern,Peace Corps,Feb 2016 - May 2016,4 mos,Washington D.C. Metro Area,,,,,,Administrative Intern,Hands on Hope,Aug 2015 - Dec 2015,5 mos,"Amman, Jordan",,,,,,Student Coordinator,Colonial Crossroads at The George Washington University,Jan 2013 - Jun 2015,2 yrs 6 mos,Washington D.C. Metro Area,,,,,,Contracts and Grants Officer,AMIDEAST,Sep 2017 - Aug 2019 · 2 yrs,2 yrs,Washington D.C. Metro Area,,,,,,Field Operations Senior Program Assistant,AMIDEAST,Aug 2016 - Sep 2017 · 1 yr 2 mos,1 yr 2 mos,Washington D.C. Metro Area,,,,,,Business Development Intern,AMIDEAST,Jun 2016 - Aug 2016 · 3 mos,3 mos,Washington D.C. Metro Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Public Speaking,Research,Customer Service,"
"Marketing Strategist, Producer & Analyst | CBRE",Sales,West Virginia University,"Bachelor of Business Administration (B.B.A.), Marketing","Bachelor of Business Administration (B.B.A.), Marketing",,,Sr. Marketing Manager,CBRE · Full-time,Nov 2021 - Present,6 mos,,,,,,,Content Marketing Manager & Analyst,KLIK · Full-time,Jan 2021 - Nov 2021,11 mos,"Arlington, Virginia, United States",,,,,,Senior Marketing Strategist,Michael Schlow Restaurant Group · Full-time,Jan 2019 - Nov 2020,1 yr 11 mos,Washington D.C. Metro Area,,,,,,Content Strategist + Producer,Streetsense · Full-time,Aug 2016 - Jan 2019,2 yrs 6 mos,Washington D.C. Metro Area,,,,,,Marketing Project Manager,Brightline Interactive,Jan 2015 - Aug 2016 · 1 yr 8 mos,1 yr 8 mos,Washington D.C. Metro Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google Ads,Adobe Lightroom,Adobe Photoshop,"
"VP, Database, Analytics and ML at AWS",Machine Learning,Vrije Universiteit Amsterdam (VU Amsterdam),"Ph.D., Computer Science","Ph.D., Computer Science",,,"VP, Database, Analytics and Machine Learning",Amazon Web Services (AWS) · Full-time,Jan 2022 - Present,4 mos,"Seattle, Washington, United States",,,,,,"VP, Amazon AI",Amazon Web Services,Jan 2017 - Jan 2022,5 yrs 1 mo,Seattle,,,,,,Research Engineer Intern,"Amazon.com, Distributed Systems Group",Jun 2005 - Sep 2005,4 mos,,,,,,,Apr 2008 - May 2010 · 2 yrs 2 mos,Amazon.com,"Reporting to the CTO; Working on design, implementation and analysis of several distributed systems technology within my organization.",3 yrs 7 mos,Principal Engineer in Cloud Computing Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Distributed Systems,Cloud Computing,Scalability,"
Interim Chief of Staff for Academic Affairs at Marshall University,Professor,The University of Southern Mississippi,"Doctor of Education - EdD, Higher Education Administration","Doctor of Education - EdD, Higher Education Administration",,,Instructional Specialist/Faculty,Mountwest Community & Technical College · Full-time,2012 - 2015,3 yrs,"Huntington, West Virginia Area",,,,,,Director Of Career Services,ITT Technical Institute · Full-time,2011 - 2012,1 yr,"Huntington, West Virginia Area",,,,,,Event Marketing & PR Coordinator,Marshall University · Full-time,2008 - 2011,3 yrs,"Marketed and promoted Career Services sponsored events and additional co-sponsored events as arranged through collaboration with other campus departments. Managed job fairs and career events to include planning, organizing, marketing, budgeting, and supervising. Coordinated venue, equipment, speaker invitations, event invitations, and correspondence material. Ordered food and promotional items. Kept inventory of event supplies. Designed event flyers, brochures, posters, banners, handouts, and other marketing collateral. Created floor plans and booth assignments. Packs event boxes. Sets up and managed events. Created events in Jobs for Marshall JobTrax. Maintains and assists recruiters with employer registrations, billing and payment of registration fees and correspondence. Prepared event surveys for employers and students and compiles statistical data from survey results. Attended campus professional organization meetings. Entered information into a database and maintained records and correspondence with efficiency in reference to career events. Developed, maintained and updated Career Services website with target information for students, employers, parents, alumni, and Marshall faculty/staff. Maintained Career Services’ social media sites. Developed branded marketing campaigns for new and existing initiatives as needed, including comprehensive marketing plans, logos, and tag lines. Developed metrics and track social media usage. Wrote, edited, and proofread Career Services promotions including printed materials and web pages. Hired, trained, and supervised marketing and public relations intern(s). Performed other related duties as assigned.",,,,,,Assistant Director of Community Development,University of Louisville,2003 - 2007,4 yrs,"Louisville, Kentucky Area",,,,,,,,,,,,,,,,2016 - Present · 6 yrs 4 mos,Marshall University,"Huntington, West Virginia Area",Full-time · 6 yrs 4 mos,John F. Rahal Center for Strategic Engagement - Office of the Dean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Career Counseling,Higher Education,Student Affairs,"
Go-To-Market & User Experience @ Google,Machine Learning,Vanderbilt University,"Bachelor's degree, Human & Organizational Developement with Minors in Economics and Business","Bachelor's degree, Human & Organizational Developement with Minors in Economics and Business",,,Admissions Coach,EarlyAdmit · Part-time,Jun 2021 - Present,11 mos,,,,,,,Social Impact Fellow,YCore · Part-time,Oct 2021 - Feb 2022,5 mos,San Francisco Bay Area,,,,,,Business Development Intern,GoCheck Kids,Jan 2021 - Aug 2021,8 mos,,,,,,,Creative Media & Marketing Intern,Vanderbilt University · Internship,Jan 2018 - Dec 2020,3 yrs,Nashville Metropolitan Area,,,,,,Go-To-Market and Enablement Strategist,Google,Jan 2022 - Present · 4 mos,8 mos,San Francisco Bay Area,,,,,,UX Researcher,Google,Feb 2022 - Present · 3 mos,3 mos,San Francisco Bay Area,,,,,,Research Analyst,Google,Sep 2021 - Jan 2022 · 5 mos,8 mos,San Francisco Bay Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Public Speaking,Leadership,Emotional Intelligence,"
Go-To-Market Sales Leader 📈 | LinkedIn Top 100 Sales Star ⭐️ | SaaS | Girl Dad | Golfer 🏌️‍♂️,Sales,East Tennessee State University,"Bachelor of Business Administration - BBA, Business, Management, Marketing, and Related Support Services","Bachelor of Business Administration - BBA, Business, Management, Marketing, and Related Support Services",,,Sales Development Manager,Malomo,Apr 2022 - Present,1 mo,Brought in to scale SDR team by 12 more reps in 6 months.,,,,,,Enterprise Account Executive,Pushpay,Aug 2021 - Mar 2022,8 mos,,,,,,,Enterprise Sales Director,esellas · Full-time,Jan 2021 - Jun 2021,6 mos,"New York, United States",,,,,,National Sales Manager,Binova Group · Full-time,May 2019 - Dec 2020,1 yr 8 mos,"Knoxville, Tennessee Area",,,,,,Vice President Of Business Development,Head Investment Partners,Jul 2018 - Apr 2019,10 mos,"Knoxville, Tennessee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sales,Management,Investments,"
Managing Partner at Harlem Capital,Business,Harvard Business School,Master of Business Administration (M.B.A.),Master of Business Administration (M.B.A.),,,Co-Founder and Managing Partner,Harlem Capital,Dec 2015 - Present,6 yrs 5 mos,Greater New York City Area,,,,,,Investor,The House of LR&C,Nov 2021 - Present,6 mos,"Seattle, Washington, United States",,,,,,Investor,Pariti,Oct 2021 - Present,7 mos,Kenya’s Pariti raises $2.85M led by Harlem Capital to develop startup ecosystems in emerging markets,,,,,,Investor,Turbodega,Oct 2021 - Present,7 mos,"Lima, Peru",,,,,,Investor,"Ugami, Inc.",Aug 2021 - Present,9 mos,"Miami, Florida, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Analysis,Finance,Microsoft Excel,"
CPU Design Engineer @ Google,Software Engineer,University of Wisconsin - Madison,"Master of Science (M.S.), Electrical and Computer Engineering- Computer Architecture/ System Software","Master of Science (M.S.), Electrical and Computer Engineering- Computer Architecture/ System Software",,,CPU Design Engineer,Google · Full-time,Apr 2022 - Present,1 mo,,,,,,,Software Architecture Intern,Ambarella Inc,May 2015 - Aug 2015,4 mos,"Santa Clara, California",,,,,,Student,BMSCE,Sep 2010 - Jul 2014,3 yrs 11 mos,,,,,,,Teaching Assistant,University of Wisconsin-Madison,Jan 2016 - May 2016 · 5 mos,5 mos,"Madison, Wisconsin Area",,,,,,Masters Student,University of Wisconsin-Madison,Sep 2014 - May 2016 · 1 yr 9 mos,1 yr 9 mos,"Madison, Wisconsin Area",,,,,,Teaching Assistant,University of Wisconsin-Madison,Sep 2015 - Dec 2015 · 4 mos,4 mos,"Madison, Wisconsin Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Computer Architecture,Verilog,"
